id_region,region_name,id_city,city_name
23,Черкаська область,421,Монастирище
23,Черкаська область,422,Сміла
23,Черкаська область,423,Тальне
23,Черкаська область,424,Умань
23,Черкаська область,425,Христинівка
23,Черкаська область,426,Черкаси
23,Черкаська область,427,Чигирин
23,Черкаська область,428,Шпола
24,Чернівецька область,429,Вашківці
24,Чернівецька область,430,Вижниця
24,Чернівецька область,431,Герца
24,Чернівецька область,432,Заставна
24,Чернівецька область,433,Кіцмань
24,Чернівецька область,434,Новодністровськ
24,Чернівецька область,435,Новоселиця
24,Чернівецька область,436,Сокиряни
24,Чернівецька область,437,Сторожинець
24,Чернівецька область,438,Хотин
24,Чернівецька область,439,Чернівці
25,Чернігівська область,440,Бахмач
25,Чернігівська область,441,Бобровиця
25,Чернігівська область,442,Борзна
25,Чернігівська область,443,Городня
25,Чернігівська область,444,Ічня
25,Чернігівська область,445,Корюківка
25,Чернігівська область,446,Мена
25,Чернігівська область,447,Ніжин
25,Чернігівська область,448,Новгород-Сіверський
25,Чернігівська область,449,Носівка
25,Чернігівська область,450,Остер
25,Чернігівська область,451,Прилуки
25,Чернігівська область,452,Семенівка
25,Чернігівська область,453,Сновськ
25,Чернігівська область,454,Чернігів
